investor,commit,deal_size,invite,rating,int_rate,covenants,total_fees,fee_share,prior_tier,invite_tier
MUFG Union,Commit,1500,270,4,Market,0,39,12.2,Participant,Bookrunner
Goldman Sachs,Commit,600,90,2,Above,2,42,9.4,Bookrunner,Bookrunner
Wells Fargo,Commit,400,50,2,Market,3,64,11.5,Participant,Bookrunner
MUFG Union,Decline,1100,170,4,Market,0,5,0.2,Bookrunner,Bookrunner
Goldman Sachs,Commit,2200,320,7,Market,0,229,38,Bookrunner,Bookrunner
Goldman Sachs,Commit,200,30,2,Above,2,19,3.3,Participant,Bookrunner
Bank of America,Commit,800,110,1,Market,2,116,17.6,Bookrunner,Bookrunner
Deutsche Bank,Commit,1600,280,2,Above,2,171,23.8,Participant,Bookrunner
MUFG Union,Commit,800,120,3,Market,2,44,5.9,Bookrunner,Bookrunner
Deutsche Bank,Decline,1200,110,2,Market,2,165,31.5,Bookrunner,Participant
Bank of America,Commit,1200,250,1,Market,2,86,11.3,Participant,Bookrunner
Goldman Sachs,Commit,400,60,1,Market,2,56,13.8,Bookrunner,Bookrunner
Bank of America,Decline,300,40,2,Market,2,28,1.2,Bookrunner,Bookrunner
Bank of America,Commit,900,90,2,Market,2,129,14.4,Participant,Participant
Bank of America,Commit,1800,240,4,Market,1,265,0,Participant,Bookrunner
Deutsche Bank,Decline,1400,230,9,Market,0,147,0.6,Bookrunner,Bookrunner
MUFG Union,Commit,600,90,1,Above,2,84,0.8,Bookrunner,Bookrunner
MUFG Union,Commit,500,60,2,Market,2,45,4.6,Bookrunner,Bookrunner
MUFG Union,Commit,1000,180,6,Market,1,108,12,Bookrunner,Bookrunner
Goldman Sachs,Decline,1600,120,9,Below,0,25,3.8,Bookrunner,Participant
Wells Fargo,Decline,900,90,2,Market,2,54,3.7,Bookrunner,Participant
Deutsche Bank,Decline,500,80,2,Market,2,33,1.5,Bookrunner,Bookrunner
Goldman Sachs,Commit,700,80,1,Below,2,55,6.1,Participant,Bookrunner
Wells Fargo,Commit,1500,250,7,Above,0,149,36.1,Bookrunner,Bookrunner
Goldman Sachs,Decline,900,80,1,Market,2,78,5.2,Bookrunner,Participant
MUFG Union,Commit,1000,140,3,Market,2,69,0,Participant,Bookrunner
Wells Fargo,Commit,400,70,3,Market,1,16,1.1,Bookrunner,Bookrunner
Deutsche Bank,Commit,700,130,1,Market,2,70,19.1,Bookrunner,Bookrunner
Bank of America,Decline,400,40,3,Below,2,41,3.6,Bookrunner,Participant
MUFG Union,Decline,1400,110,8,Market,0,90,18.5,Bookrunner,Participant
Wells Fargo,Decline,300,60,3,Below,2,23,5.6,Bookrunner,Bookrunner
Deutsche Bank,Commit,1500,290,9,Market,0,153,43.5,Bookrunner,Bookrunner
MUFG Union,Commit,1700,250,5,Market,1,219,25.4,Bookrunner,Bookrunner
Bank of America,Decline,800,70,1,Market,2,76,6.8,Bookrunner,Participant
Goldman Sachs,Commit,1200,170,4,Market,1,126,16.3,Bookrunner,Bookrunner
Wells Fargo,Commit,2300,350,10,Market,0,252,50.9,Bookrunner,Bookrunner
Wells Fargo,Commit,600,60,3,Market,3,115,20.9,Bookrunner,Participant
Deutsche Bank,Commit,900,150,2,Market,2,116,28.2,Bookrunner,Bookrunner
Deutsche Bank,Commit,1200,210,9,Market,0,93,12.4,Bookrunner,Bookrunner
MUFG Union,Commit,2100,230,7,Market,0,107,1.5,Participant,Participant
Wells Fargo,Commit,1400,240,6,Above,1,93,19,Bookrunner,Bookrunner
Wells Fargo,Commit,900,80,2,Market,2,110,23.3,Bookrunner,Participant
Goldman Sachs,Commit,1300,190,4,Below,1,171,6.8,Bookrunner,Bookrunner
Bank of America,Commit,400,90,3,Market,2,48,7.2,Participant,Bookrunner
MUFG Union,Commit,1600,240,4,Market,1,167,28.6,Bookrunner,Bookrunner
Bank of America,Decline,600,70,3,Market,1,16,3.5,Bookrunner,Participant
MUFG Union,Commit,400,70,3,Market,2,50,14.6,Bookrunner,Bookrunner
Deutsche Bank,Commit,1800,240,1,Above,2,135,33.3,Bookrunner,Bookrunner
Wells Fargo,Commit,800,160,4,Market,1,113,6.4,Bookrunner,Bookrunner
MUFG Union,Commit,1600,250,6,Market,1,149,20.7,Bookrunner,Bookrunner
Deutsche Bank,Decline,500,50,3,Market,2,48,10.3,Bookrunner,Participant
Deutsche Bank,Commit,400,70,2,Market,3,61,12.6,Bookrunner,Bookrunner
Deutsche Bank,Decline,1400,160,7,Market,0,196,24.9,Bookrunner,Participant
Bank of America,Commit,1300,160,4,Market,1,78,2.3,Participant,Bookrunner
Bank of America,Commit,1400,260,10,Market,0,169,31.3,Bookrunner,Bookrunner
Goldman Sachs,Commit,1000,200,8,Market,0,76,6.5,Bookrunner,Bookrunner
Deutsche Bank,Decline,1000,90,8,Market,0,70,14.1,Bookrunner,Participant
Wells Fargo,Commit,1600,230,7,Above,0,288,30.8,Bookrunner,Bookrunner
MUFG Union,Commit,800,160,1,Market,2,150,31.2,Bookrunner,Bookrunner
Goldman Sachs,Commit,1500,150,4,Market,0,72,12.8,Participant,Participant
Deutsche Bank,Commit,500,100,2,Market,2,43,1.3,Participant,Bookrunner
Deutsche Bank,Decline,800,120,2,Market,2,110,7.4,Bookrunner,Bookrunner
Goldman Sachs,Commit,1700,400,3,Market,2,227,105.6,Bookrunner,Bookrunner
MUFG Union,Commit,400,60,4,Market,1,53,10.9,Bookrunner,Bookrunner
Bank of America,Commit,800,110,2,Market,1,36,7.8,Bookrunner,Bookrunner
Bank of America,Commit,1300,250,5,Above,1,186,40,Bookrunner,Bookrunner
Goldman Sachs,Commit,1300,230,9,Market,0,139,15.7,Bookrunner,Bookrunner
Deutsche Bank,Commit,1400,140,8,Market,0,350,78.4,Bookrunner,Participant
Wells Fargo,Commit,1000,150,1,Above,2,77,3.3,Bookrunner,Bookrunner
Wells Fargo,Commit,1200,210,8,Market,0,98,33.8,Bookrunner,Bookrunner
Deutsche Bank,Decline,900,120,3,Market,2,87,1,Bookrunner,Bookrunner
Deutsche Bank,Commit,2100,280,3,Market,2,176,21.5,Bookrunner,Bookrunner
Bank of America,Commit,1200,190,6,Below,1,130,20.9,Bookrunner,Bookrunner
Goldman Sachs,Commit,700,110,1,Market,2,94,17.1,Bookrunner,Bookrunner
Wells Fargo,Commit,900,130,2,Market,2,116,19,Bookrunner,Bookrunner
Deutsche Bank,Decline,1100,230,7,Market,0,123,3.9,Bookrunner,Bookrunner
Deutsche Bank,Decline,1100,150,5,Market,1,122,6.6,Bookrunner,Bookrunner
MUFG Union,Commit,1100,160,10,Market,0,62,0,Participant,Bookrunner
MUFG Union,Commit,1000,170,4,Market,1,99,21.6,Participant,Bookrunner
Wells Fargo,Commit,700,130,1,Market,2,42,1.1,Bookrunner,Bookrunner
MUFG Union,Commit,1600,220,6,Market,1,176,0.5,Bookrunner,Bookrunner
Bank of America,Commit,300,40,4,Market,1,27,3.8,Bookrunner,Bookrunner
Wells Fargo,Commit,1200,140,8,Market,0,139,28.5,Bookrunner,Participant
Bank of America,Decline,200,30,2,Market,2,12,0.4,Bookrunner,Bookrunner
Bank of America,Commit,1400,240,3,Market,1,62,20.7,Bookrunner,Bookrunner
Bank of America,Commit,1100,130,5,Market,1,150,29.7,Bookrunner,Participant
Deutsche Bank,Decline,800,160,2,Market,2,51,3,Bookrunner,Bookrunner
Bank of America,Commit,1900,210,2,Market,2,166,33.9,Bookrunner,Participant
Goldman Sachs,Commit,700,150,3,Market,2,91,18.9,Bookrunner,Bookrunner
MUFG Union,Commit,1100,250,7,Below,0,125,5.9,Bookrunner,Bookrunner
Wells Fargo,Commit,1700,230,6,Market,2,296,9.2,Bookrunner,Bookrunner
MUFG Union,Decline,700,40,2,Market,2,72,5.8,Bookrunner,Participant
MUFG Union,Commit,500,60,2,Below,1,8,1.9,Bookrunner,Bookrunner
MUFG Union,Commit,900,120,2,Market,1,45,1.7,Bookrunner,Bookrunner
Wells Fargo,Commit,900,140,3,Above,2,114,31.4,Bookrunner,Bookrunner
Bank of America,Commit,900,150,2,Market,2,58,14.6,Bookrunner,Bookrunner
Bank of America,Commit,1300,180,5,Market,2,204,22,Bookrunner,Bookrunner
MUFG Union,Commit,1100,160,8,Market,0,152,26.8,Bookrunner,Bookrunner
Bank of America,Commit,1000,210,10,Market,0,11,1.5,Bookrunner,Bookrunner
Wells Fargo,Commit,200,30,3,Market,2,12,1.9,Participant,Bookrunner
Wells Fargo,Commit,800,110,1,Market,2,74,3.6,Bookrunner,Bookrunner
Goldman Sachs,Commit,2000,450,9,Market,0,189,58,Bookrunner,Bookrunner
Goldman Sachs,Commit,1100,150,2,Market,2,113,23.5,Bookrunner,Bookrunner
Wells Fargo,Commit,1200,200,10,Market,0,49,7,Bookrunner,Bookrunner
Deutsche Bank,Commit,300,60,3,Market,2,19,3.8,Bookrunner,Bookrunner
Wells Fargo,Commit,1300,190,9,Market,0,95,8.1,Bookrunner,Bookrunner
Goldman Sachs,Commit,600,110,1,Market,2,82,8.3,Bookrunner,Bookrunner
Bank of America,Commit,900,200,3,Market,2,106,8.6,Bookrunner,Bookrunner
Bank of America,Commit,2100,310,7,Market,0,60,17.4,Bookrunner,Bookrunner
MUFG Union,Commit,1600,290,7,Market,0,112,24.3,Participant,Bookrunner
Goldman Sachs,Decline,900,80,1,Market,2,106,20.5,Bookrunner,Participant
Goldman Sachs,Commit,1100,190,10,Below,1,173,51.4,Bookrunner,Bookrunner
Goldman Sachs,Commit,700,110,2,Market,2,82,26,Bookrunner,Bookrunner
Bank of America,Decline,1000,100,2,Market,2,58,4.9,Bookrunner,Participant
Goldman Sachs,Commit,1100,140,4,Market,1,108,12.3,Bookrunner,Bookrunner
Goldman Sachs,Decline,400,30,3,Market,2,33,5.5,Bookrunner,Participant
Wells Fargo,Decline,1000,120,4,Market,1,79,7.5,Bookrunner,Participant
MUFG Union,Commit,1500,190,7,Market,0,171,33.7,Bookrunner,Bookrunner
Bank of America,Commit,1200,260,4,Market,0,46,16.1,Bookrunner,Bookrunner
Goldman Sachs,Commit,1500,260,3,Market,2,201,0,Participant,Bookrunner
Bank of America,Commit,1100,130,2,Below,2,126,1.3,Participant,Bookrunner
MUFG Union,Commit,1000,100,9,Market,1,161,35.4,Bookrunner,Participant
Bank of America,Commit,1100,140,5,Market,1,122,29,Bookrunner,Bookrunner
MUFG Union,Commit,300,50,4,Market,2,65,9.9,Bookrunner,Bookrunner
Wells Fargo,Commit,1300,270,2,Market,2,114,16.3,Bookrunner,Bookrunner
Deutsche Bank,Decline,900,150,1,Market,2,131,6.9,Bookrunner,Bookrunner
Bank of America,Commit,1400,170,6,Market,1,148,24.4,Bookrunner,Bookrunner
Goldman Sachs,Commit,900,150,2,Market,2,91,9.5,Bookrunner,Bookrunner
Goldman Sachs,Commit,900,130,2,Market,3,157,15.9,Bookrunner,Bookrunner
MUFG Union,Commit,1900,270,6,Market,1,207,3.1,Bookrunner,Bookrunner
MUFG Union,Decline,600,60,2,Below,2,48,10.7,Bookrunner,Participant
Goldman Sachs,Commit,1100,160,10,Below,0,108,0,Participant,Bookrunner
Bank of America,Commit,700,170,3,Market,2,43,16.2,Bookrunner,Bookrunner
Deutsche Bank,Commit,300,60,3,Market,2,79,10.2,Bookrunner,Bookrunner
Goldman Sachs,Commit,1200,200,1,Market,3,219,23.2,Bookrunner,Bookrunner
Bank of America,Commit,800,120,2,Above,2,44,2.2,Bookrunner,Bookrunner
MUFG Union,Commit,600,80,3,Market,3,115,15.4,Bookrunner,Bookrunner
Bank of America,Commit,400,50,5,Market,1,32,3.6,Bookrunner,Bookrunner
Wells Fargo,Commit,1000,180,8,Market,0,147,14.3,Bookrunner,Bookrunner
Bank of America,Commit,300,50,1,Market,3,60,17.1,Bookrunner,Bookrunner
MUFG Union,Commit,1500,240,10,Market,0,217,68.1,Bookrunner,Bookrunner
Goldman Sachs,Commit,1200,190,4,Below,1,136,5,Bookrunner,Bookrunner
MUFG Union,Commit,1500,230,8,Market,1,235,17.2,Bookrunner,Bookrunner
MUFG Union,Commit,1300,130,5,Above,1,186,15.1,Participant,Participant
Wells Fargo,Commit,1500,110,6,Market,0,-12,-0.9,Participant,Participant
Wells Fargo,Commit,1200,130,7,Market,1,185,33.7,Bookrunner,Participant
Goldman Sachs,Commit,1000,160,6,Market,2,307,68.8,Bookrunner,Bookrunner
Bank of America,Commit,400,70,2,Market,2,60,5.6,Participant,Bookrunner
Goldman Sachs,Decline,500,60,2,Market,2,49,4.1,Bookrunner,Bookrunner
Bank of America,Commit,1300,240,10,Market,0,171,13.3,Bookrunner,Bookrunner
MUFG Union,Decline,900,100,1,Market,1,26,2.9,Bookrunner,Participant
MUFG Union,Decline,1200,110,3,Market,2,109,25.1,Bookrunner,Participant
MUFG Union,Commit,1200,240,1,Market,2,86,2.6,Bookrunner,Bookrunner
MUFG Union,Commit,1200,150,1,Above,2,193,34.5,Bookrunner,Bookrunner
Deutsche Bank,Commit,1300,200,3,Market,3,218,7,Bookrunner,Bookrunner
Deutsche Bank,Decline,1000,90,4,Below,1,91,12,Bookrunner,Participant
Deutsche Bank,Commit,1400,170,4,Market,1,148,26.6,Bookrunner,Bookrunner
Deutsche Bank,Decline,1800,210,6,Market,1,209,43.7,Bookrunner,Participant
Wells Fargo,Commit,1000,90,1,Market,1,34,4.1,Bookrunner,Participant
Bank of America,Commit,400,70,1,Market,2,41,2.9,Bookrunner,Bookrunner
MUFG Union,Commit,800,120,1,Market,2,78,16.1,Bookrunner,Bookrunner
MUFG Union,Commit,1000,130,6,Market,1,121,10.6,Bookrunner,Bookrunner
Wells Fargo,Commit,1300,210,6,Below,1,192,57.6,Bookrunner,Bookrunner
Deutsche Bank,Decline,1800,150,7,Market,0,213,42.6,Bookrunner,Participant
MUFG Union,Commit,800,110,2,Below,3,128,9.2,Bookrunner,Bookrunner
Wells Fargo,Commit,1100,210,9,Market,0,78,0.5,Bookrunner,Bookrunner
Goldman Sachs,Commit,900,160,2,Market,2,106,27.9,Bookrunner,Bookrunner
Bank of America,Commit,600,80,2,Market,2,78,14.6,Bookrunner,Bookrunner
Bank of America,Commit,1400,240,4,Above,1,88,4,Bookrunner,Bookrunner
Bank of America,Commit,700,110,1,Market,2,104,27.5,Bookrunner,Bookrunner
Wells Fargo,Commit,1100,170,9,Market,0,73,0.3,Bookrunner,Bookrunner
Bank of America,Commit,1600,130,9,Market,0,178,8.4,Participant,Participant
Goldman Sachs,Commit,700,90,2,Market,2,75,6.6,Bookrunner,Bookrunner
MUFG Union,Commit,1200,200,6,Above,1,136,33.9,Bookrunner,Bookrunner
Goldman Sachs,Decline,1400,110,6,Market,1,154,11.4,Bookrunner,Participant
MUFG Union,Commit,1500,240,8,Market,0,164,9.8,Bookrunner,Bookrunner
Deutsche Bank,Decline,600,120,3,Market,2,76,2.5,Bookrunner,Bookrunner
Goldman Sachs,Commit,1700,170,6,Market,1,181,18.5,Participant,Participant
MUFG Union,Commit,1600,170,5,Market,2,254,21.6,Bookrunner,Participant
Bank of America,Decline,1200,120,4,Market,1,126,6.6,Bookrunner,Participant
Deutsche Bank,Commit,1900,320,9,Market,0,151,39.1,Bookrunner,Bookrunner
Wells Fargo,Decline,1200,240,1,Below,2,65,12,Bookrunner,Bookrunner
Wells Fargo,Commit,1300,200,6,Above,1,115,15.3,Bookrunner,Bookrunner
Deutsche Bank,Decline,700,30,1,Market,2,59,4.5,Bookrunner,Participant
Goldman Sachs,Commit,1600,290,3,Market,2,114,27.4,Bookrunner,Bookrunner
Bank of America,Commit,800,120,3,Market,1,36,6.2,Participant,Bookrunner
Bank of America,Commit,1600,190,6,Market,1,188,38.9,Bookrunner,Participant
Deutsche Bank,Decline,500,60,2,Below,3,80,18.7,Bookrunner,Participant
Wells Fargo,Commit,1300,140,6,Market,1,131,26.2,Bookrunner,Participant
Bank of America,Commit,500,80,2,Below,2,71,7.2,Bookrunner,Bookrunner
Bank of America,Commit,900,150,3,Market,2,53,14.4,Bookrunner,Bookrunner
Bank of America,Commit,800,120,1,Market,2,76,3.6,Bookrunner,Bookrunner
Wells Fargo,Commit,300,60,2,Market,3,46,13.3,Bookrunner,Bookrunner
Goldman Sachs,Commit,800,140,1,Market,2,214,40,Bookrunner,Bookrunner
Bank of America,Commit,1300,230,2,Market,2,117,33.7,Bookrunner,Bookrunner
Deutsche Bank,Decline,1300,180,4,Market,1,71,0.8,Bookrunner,Bookrunner
Deutsche Bank,Commit,1500,290,2,Below,2,222,58.8,Bookrunner,Bookrunner
Deutsche Bank,Commit,1800,220,8,Market,0,165,29.4,Bookrunner,Bookrunner
Deutsche Bank,Commit,600,120,2,Market,1,12,4.2,Bookrunner,Bookrunner
MUFG Union,Commit,1900,380,2,Market,1,89,19,Bookrunner,Bookrunner
Bank of America,Decline,500,60,3,Above,2,26,5.7,Bookrunner,Participant
MUFG Union,Commit,1300,180,3,Below,2,66,14.1,Bookrunner,Bookrunner
Deutsche Bank,Decline,1100,110,7,Below,0,125,23.6,Bookrunner,Participant
Wells Fargo,Commit,800,140,1,Market,2,52,9.9,Bookrunner,Bookrunner
Goldman Sachs,Commit,1100,130,8,Market,0,66,7.9,Bookrunner,Bookrunner
Goldman Sachs,Commit,1000,230,4,Market,1,99,30.5,Bookrunner,Bookrunner
Bank of America,Commit,800,60,4,Below,1,106,2.2,Participant,Participant
Deutsche Bank,Decline,400,60,2,Market,2,51,4.8,Bookrunner,Bookrunner
MUFG Union,Commit,900,150,1,Market,2,99,31.5,Bookrunner,Bookrunner
MUFG Union,Commit,1100,140,3,Market,2,69,12.9,Bookrunner,Bookrunner
Deutsche Bank,Commit,400,90,2,Market,3,63,10.9,Bookrunner,Bookrunner
Wells Fargo,Decline,1200,120,9,Market,0,109,10.7,Bookrunner,Participant
MUFG Union,Commit,700,140,2,Market,1,35,10.6,Participant,Bookrunner
Bank of America,Commit,500,90,3,Market,2,120,11.3,Bookrunner,Bookrunner
MUFG Union,Commit,900,130,3,Above,3,150,10.1,Bookrunner,Bookrunner
Goldman Sachs,Decline,1200,150,5,Market,1,61,4.1,Bookrunner,Bookrunner
Wells Fargo,Commit,800,160,2,Above,2,80,12.2,Bookrunner,Bookrunner
Bank of America,Commit,1100,180,8,Market,0,165,7.8,Bookrunner,Bookrunner
Wells Fargo,Commit,1200,250,1,Market,3,219,64.8,Bookrunner,Bookrunner
Wells Fargo,Commit,1100,220,10,Market,0,62,6.9,Bookrunner,Bookrunner
MUFG Union,Commit,900,150,3,Market,2,113,15,Bookrunner,Bookrunner
Goldman Sachs,Commit,1000,140,6,Above,0,32,7.8,Bookrunner,Bookrunner
Goldman Sachs,Commit,400,70,4,Market,1,30,7.1,Bookrunner,Bookrunner
MUFG Union,Commit,900,120,1,Market,1,-9,-1.9,Bookrunner,Bookrunner
Goldman Sachs,Commit,500,70,3,Market,2,32,5.4,Bookrunner,Bookrunner
Wells Fargo,Commit,1200,160,3,Market,2,71,12,Bookrunner,Bookrunner
Bank of America,Commit,400,40,3,Above,2,46,2.9,Participant,Participant
Wells Fargo,Commit,700,150,2,Below,1,33,9.9,Bookrunner,Bookrunner
Goldman Sachs,Commit,1700,300,9,Market,0,125,6.6,Bookrunner,Bookrunner
Wells Fargo,Commit,800,130,3,Market,1,25,2,Bookrunner,Bookrunner
Goldman Sachs,Commit,1200,200,5,Market,1,130,17.2,Bookrunner,Bookrunner
Deutsche Bank,Commit,1500,190,5,Market,1,123,15.9,Bookrunner,Bookrunner
Deutsche Bank,Decline,300,60,2,Market,2,37,3.2,Bookrunner,Bookrunner
Deutsche Bank,Commit,600,90,2,Above,2,68,19.3,Bookrunner,Bookrunner
Wells Fargo,Commit,1200,290,1,Market,2,138,61.3,Bookrunner,Bookrunner
Wells Fargo,Commit,500,60,2,Market,2,56,5.8,Bookrunner,Bookrunner
Deutsche Bank,Commit,600,100,1,Market,2,83,25.5,Bookrunner,Bookrunner
Wells Fargo,Commit,1400,130,3,Market,2,84,19.3,Bookrunner,Participant
Wells Fargo,Commit,1200,250,2,Market,2,94,10.8,Bookrunner,Bookrunner
Bank of America,Commit,1100,200,2,Market,2,97,25.5,Bookrunner,Bookrunner
Goldman Sachs,Commit,1200,220,2,Market,2,175,20.5,Bookrunner,Bookrunner
Deutsche Bank,Decline,900,90,3,Market,2,80,16.7,Bookrunner,Participant
Deutsche Bank,Commit,1100,210,5,Market,1,113,18.5,Bookrunner,Bookrunner
Wells Fargo,Commit,700,100,1,Market,1,30,4.6,Bookrunner,Bookrunner
Bank of America,Commit,1600,200,5,Market,1,187,17,Bookrunner,Bookrunner
Bank of America,Commit,400,50,2,Market,3,61,3.7,Bookrunner,Bookrunner
Goldman Sachs,Commit,1100,170,5,Market,1,122,20.3,Bookrunner,Bookrunner
Deutsche Bank,Commit,1000,150,10,Market,0,142,12.2,Bookrunner,Bookrunner
Bank of America,Commit,1500,290,2,Below,2,222,0,Participant,Bookrunner
Bank of America,Commit,1100,110,8,Market,0,100,22.1,Bookrunner,Participant
Deutsche Bank,Commit,600,100,1,Market,3,106,10.1,Bookrunner,Bookrunner
Bank of America,Commit,1200,150,7,Market,1,181,13.4,Bookrunner,Bookrunner
Deutsche Bank,Decline,900,170,2,Below,2,75,8.8,Bookrunner,Bookrunner
MUFG Union,Commit,600,130,4,Market,1,46,16.6,Participant,Bookrunner
Wells Fargo,Commit,1600,260,7,Above,0,208,64.3,Bookrunner,Bookrunner
Bank of America,Commit,1200,150,4,Market,0,51,8.9,Bookrunner,Bookrunner
Deutsche Bank,Commit,1600,210,8,Market,0,174,34.1,Bookrunner,Bookrunner
Deutsche Bank,Decline,1200,100,3,Market,2,89,3.1,Participant,Participant
Wells Fargo,Commit,1500,220,10,Market,0,127,16.3,Bookrunner,Bookrunner
Deutsche Bank,Decline,200,20,2,Below,2,20,3.8,Participant,Participant
MUFG Union,Commit,1100,200,7,Market,0,162,0.2,Bookrunner,Bookrunner
MUFG Union,Commit,1100,130,9,Market,0,99,24.2,Bookrunner,Bookrunner
MUFG Union,Decline,1900,170,9,Market,0,197,21.1,Bookrunner,Participant
Bank of America,Decline,1200,110,6,Market,1,91,12.2,Bookrunner,Participant
MUFG Union,Decline,1200,110,8,Market,0,119,22.5,Bookrunner,Participant
Goldman Sachs,Commit,1000,170,7,Market,0,144,46.1,Bookrunner,Bookrunner
MUFG Union,Decline,800,90,1,Market,2,78,9.9,Bookrunner,Participant
Deutsche Bank,Decline,900,120,1,Market,3,146,3.8,Bookrunner,Bookrunner
MUFG Union,Commit,1300,240,7,Market,0,78,9.4,Bookrunner,Bookrunner
MUFG Union,Commit,1100,190,8,Market,0,85,7.7,Bookrunner,Bookrunner
Goldman Sachs,Decline,600,90,4,Below,1,71,4.5,Bookrunner,Bookrunner
Bank of America,Commit,200,30,3,Market,2,28,2.7,Bookrunner,Bookrunner
Goldman Sachs,Commit,1300,250,8,Market,0,74,12.1,Participant,Bookrunner
Wells Fargo,Commit,1000,80,8,Market,1,151,16.2,Participant,Participant
Goldman Sachs,Decline,1100,50,4,Market,1,79,6.6,Bookrunner,Participant
MUFG Union,Commit,1000,140,9,Market,0,146,10.2,Participant,Bookrunner
Deutsche Bank,Commit,1200,180,2,Market,2,140,41.4,Bookrunner,Bookrunner
Wells Fargo,Decline,1300,130,10,Below,0,133,6.9,Bookrunner,Participant
Wells Fargo,Commit,1100,130,1,Market,2,162,27.5,Bookrunner,Bookrunner
Deutsche Bank,Commit,1600,250,6,Market,1,176,7.4,Participant,Bookrunner
Goldman Sachs,Decline,1100,180,4,Market,0,32,3.4,Bookrunner,Bookrunner
Deutsche Bank,Commit,1100,160,3,Market,2,88,18.5,Bookrunner,Bookrunner
Deutsche Bank,Decline,1400,150,6,Below,1,74,17.8,Bookrunner,Participant
Goldman Sachs,Commit,900,160,2,Market,3,137,23,Bookrunner,Bookrunner
Bank of America,Commit,800,140,2,Market,2,115,23.6,Bookrunner,Bookrunner
Goldman Sachs,Decline,1300,150,9,Market,0,95,18.7,Bookrunner,Participant
Wells Fargo,Commit,2100,220,3,Market,2,265,32.9,Bookrunner,Participant
MUFG Union,Commit,1300,210,3,Market,3,205,10.5,Bookrunner,Bookrunner
Deutsche Bank,Commit,800,190,1,Market,2,103,36.7,Bookrunner,Bookrunner
Wells Fargo,Commit,500,60,5,Market,1,73,3.9,Participant,Participant
Deutsche Bank,Commit,900,120,2,Market,2,100,18.4,Bookrunner,Bookrunner
Bank of America,Commit,1200,300,4,Below,1,131,4.3,Bookrunner,Bookrunner
MUFG Union,Commit,1500,210,4,Market,0,72,11.3,Participant,Bookrunner
Bank of America,Commit,1300,250,5,Market,0,58,20.4,Bookrunner,Bookrunner
Wells Fargo,Decline,500,60,4,Market,1,46,6.1,Bookrunner,Participant
MUFG Union,Commit,1900,320,2,Market,1,89,2.6,Bookrunner,Bookrunner
Deutsche Bank,Commit,700,130,3,Market,2,80,23.8,Bookrunner,Bookrunner
MUFG Union,Commit,1400,300,4,Market,1,80,0,Participant,Bookrunner
Wells Fargo,Commit,700,100,2,Market,2,87,16.9,Bookrunner,Bookrunner
Goldman Sachs,Decline,1100,100,8,Below,0,14,2,Bookrunner,Participant
Bank of America,Commit,1100,210,9,Market,0,70,17.4,Bookrunner,Bookrunner
Deutsche Bank,Decline,600,70,2,Market,2,53,14.4,Bookrunner,Participant
Goldman Sachs,Decline,500,110,2,Market,2,57,1.3,Bookrunner,Bookrunner
Bank of America,Commit,600,110,3,Market,1,28,5.4,Bookrunner,Bookrunner
Bank of America,Commit,900,170,3,Market,2,106,2.3,Bookrunner,Bookrunner
Goldman Sachs,Commit,1400,270,6,Market,1,115,32.3,Bookrunner,Bookrunner
Deutsche Bank,Commit,900,200,1,Market,2,57,21.4,Bookrunner,Bookrunner
Goldman Sachs,Commit,1700,310,3,Market,2,293,24.3,Bookrunner,Bookrunner
Wells Fargo,Commit,200,20,1,Market,1,10,1.3,Bookrunner,Bookrunner
Goldman Sachs,Decline,1300,120,10,Market,0,171,31.8,Bookrunner,Participant
Goldman Sachs,Decline,200,20,2,Market,2,24,2,Bookrunner,Participant
Deutsche Bank,Commit,1400,240,8,Above,0,120,25.9,Bookrunner,Bookrunner
MUFG Union,Commit,1000,150,8,Market,0,78,17.9,Bookrunner,Bookrunner
Wells Fargo,Commit,900,180,2,Above,2,58,9.6,Bookrunner,Bookrunner
MUFG Union,Commit,1400,300,5,Market,1,128,37.6,Bookrunner,Bookrunner
Goldman Sachs,Commit,1300,170,2,Market,3,203,33.5,Bookrunner,Bookrunner
Bank of America,Commit,1200,250,2,Market,2,175,69.8,Bookrunner,Bookrunner
MUFG Union,Commit,200,30,3,Above,2,13,2.6,Bookrunner,Bookrunner
MUFG Union,Commit,400,60,1,Below,3,74,18.1,Bookrunner,Bookrunner
Goldman Sachs,Commit,700,100,1,Below,2,50,10.1,Participant,Bookrunner
Bank of America,Commit,1000,200,2,Market,2,109,2.8,Bookrunner,Bookrunner
Bank of America,Decline,400,40,2,Market,2,59,4.8,Bookrunner,Participant
MUFG Union,Decline,1000,100,7,Market,0,23,4.6,Bookrunner,Participant
MUFG Union,Commit,700,120,1,Market,2,85,0,Participant,Bookrunner
MUFG Union,Commit,200,40,1,Market,2,28,3.8,Bookrunner,Bookrunner
Deutsche Bank,Commit,200,40,1,Market,2,23,2.9,Participant,Bookrunner
MUFG Union,Commit,2300,420,4,Market,1,263,26.6,Bookrunner,Bookrunner
Deutsche Bank,Commit,1000,180,8,Market,0,90,17.9,Bookrunner,Bookrunner
Goldman Sachs,Commit,400,70,2,Market,2,42,6.2,Bookrunner,Bookrunner
Deutsche Bank,Decline,600,110,4,Market,1,58,3.2,Bookrunner,Bookrunner
Goldman Sachs,Commit,1600,220,2,Market,2,149,33.5,Bookrunner,Bookrunner
